chapel_id,footprint_id,dist_m,match_method
2,1,50.96331576748306,bipartite
3,2,56.56891986127348,bipartite
4,3,54.81415827779893,bipartite
5,4,28.924253139008332,bipartite
6,7,59.41605879706209,bipartite
7,6,25.298158751284394,bipartite
8,5,33.97157822682938,bipartite
9,8,43.07564863661296,bipartite
10,11,22.630614480841498,bipartite
11,13,47.44432979962403,bipartite
12,12,16.988356103479184,bipartite
13,50,33.92432512545096,bipartite
14,14,19.800653346215274,bipartite
15,9,9.383114129700655,bipartite
16,10,16.580870176923057,bipartite
17,15,10.885055238449509,bipartite
18,16,9.934525905062568,bipartite
19,17,5.617548756131483,bipartite
20,18,5.999907718344362,bipartite
21,31,14.878594518374873,bipartite
22,23,9.496583480437527,bipartite
31,32,15.616822581027115,bipartite
23,29,13.847949322750909,bipartite
24,24,0.882559197559535,bipartite
25,25,1.4999855907051935,bipartite
29,30,3.9995183208764797,bipartite
30,28,8.17618970325882,bipartite
28,35,8.691100173882266,bipartite
27,27,1.2082944571597585,bipartite
26,26,0.9037735331932925,bipartite
37,37,2.024221656711658,bipartite
38,38,3.34222282832514,bipartite
39,39,7.587033970419766,bipartite
33,34,4.142571831140703,bipartite
32,33,6.478445128945812,bipartite
34,51,27.73064140565561,bipartite
35,49,20.38894454493581,bipartite
36,36,4.339765328481638,bipartite
41,41,6.855955676403273,bipartite
40,40,7.826627155502841,bipartite
42,19,4.606492238311956,bipartite
43,21,19.628147717337985,bipartite
44,43,8.278533767670249,bipartite
45,22,34.76216986544704,bipartite
46,45,10.419267975245797,bipartite
49,48,4.752344047688322,bipartite
48,47,5.987311087850634,bipartite
47,209,12.705109568580427,bipartite
50,52,1.4455562056599764,bipartite
51,53,0.9062325263786735,bipartite
52,55,0.5559057691028075,bipartite
53,202,4.220594132149905,bipartite
54,203,0.553347259529066,bipartite
55,205,15.720263698712403,bipartite
56,20,82.12540898563563,bipartite
57,162,59.19641941537477,bipartite
58,161,71.49330802201423,bipartite
59,157,76.33319171228126,bipartite
60,156,79.18694409200798,bipartite
61,58,39.04001659645519,bipartite
62,56,55.21933579349934,bipartite
63,152,88.55400325700685,bipartite
64,60,34.31939735393067,bipartite
65,151,99.8395045989629,bipartite
66,61,70.19059500820393,bipartite
67,65,48.67462929789362,bipartite
68,100,62.16310040297602,bipartite
69,76,98.69881149057045,bipartite
70,73,82.80700032060209,bipartite
71,77,95.87680786697156,bipartite
72,69,57.132481918901725,bipartite
73,67,95.44953682094722,bipartite
74,72,72.88748067554134,bipartite
75,80,96.92632689459735,bipartite
76,68,92.06812030596579,bipartite
77,94,92.8326502798387,bipartite
78,70,43.19337413497432,bipartite
79,75,68.10968757114185,bipartite
81,71,45.05291002907781,bipartite
80,89,86.29565087427984,bipartite
82,78,88.28926630056829,bipartite
94,96,80.97976160366991,bipartite
83,74,35.22562506064466,bipartite
89,92,73.16248134061419,bipartite
88,117,90.53782219403905,bipartite
84,79,21.296844599399606,bipartite
85,82,7.152876041349084,bipartite
86,87,85.44946864451505,bipartite
87,85,56.74161430367745,bipartite
91,116,75.47806244002012,bipartite
90,93,49.882079493146406,bipartite
92,95,61.61077681411272,bipartite
93,113,85.24882225227002,bipartite
95,110,91.09409475760782,bipartite
96,109,91.80450593001893,bipartite
97,98,53.45814432664738,bipartite
98,105,82.25672228892637,bipartite
99,63,47.71357977736479,bipartite
100,143,96.2049257331817,bipartite
101,141,73.7516519610858,bipartite
102,139,71.06126225374419,bipartite
103,66,8.10885138521618,bipartite
104,99,26.936409849414733,bipartite
105,134,58.95639300607008,bipartite
106,106,47.74374428464104,bipartite
107,107,52.74237418267172,bipartite
108,130,70.74533347977138,bipartite
109,129,71.47808129079321,bipartite
110,243,94.52769912012387,bipartite
111,114,45.05418633738694,bipartite
112,97,36.163196469201154,bipartite
113,112,54.891706600596414,bipartite
114,111,74.78708580511181,bipartite
115,91,51.432624414167556,bipartite
116,88,40.44331179100143,bipartite
117,118,67.32638448326072,bipartite
118,119,87.80687899949214,bipartite
119,83,10.867947179544096,bipartite
120,81,1.898388394419777,bipartite
121,250,91.53607189698967,bipartite
122,249,87.26368981736675,bipartite
123,252,96.15188946582484,bipartite
124,115,54.57724904436033,bipartite
125,90,31.367116076439345,bipartite
126,124,57.578436463696775,bipartite
127,246,77.16888325262227,bipartite
128,126,46.16603804226351,bipartite
129,245,73.78717238611029,bipartite
130,241,78.21448365713178,bipartite
131,240,67.39966539245626,bipartite
132,131,48.748227417276375,bipartite
133,138,28.70582270550741,bipartite
134,101,10.020014799352085,bipartite
135,104,21.150455781623872,bipartite
137,103,12.847062388957312,bipartite
136,102,4.109319729539582,bipartite
138,136,51.2999291811378,bipartite
139,140,36.66904188829123,bipartite
140,146,41.491547601427534,bipartite
141,148,51.799507596793056,bipartite
142,142,39.28197912612447,bipartite
143,64,10.33519255488831,bipartite
144,144,41.48913825746984,bipartite
145,153,68.07493255670431,bipartite
146,59,18.839373111178187,bipartite
147,62,0.7513315536766368,bipartite
148,145,16.093387176280853,bipartite
150,195,61.77529036691956,bipartite
149,147,14.464522527722886,bipartite
151,57,3.667170947579232,bipartite
152,155,34.40485888246295,bipartite
153,154,20.01304933835395,bipartite
154,158,35.85996818326169,bipartite
155,189,68.2263546813964,bipartite
156,159,26.46641596895394,bipartite
157,160,24.36323098313224,bipartite
158,179,66.72076510380317,bipartite
159,163,16.260820442269967,bipartite
160,164,19.871110705862716,bipartite
161,165,24.671967632673898,bipartite
162,177,47.83082104166496,bipartite
163,46,41.21644988576878,bipartite
164,42,37.351468291221465,bipartite
165,44,24.977053099746428,bipartite
166,166,12.341127259420386,bipartite
167,168,17.48423888128944,bipartite
168,170,0.41250301763213215,bipartite
169,169,14.239371944536423,bipartite
170,171,7.525862165997397,bipartite
171,167,35.97482553008814,bipartite
172,173,12.296402267396035,bipartite
173,175,18.717272742511494,bipartite
174,172,22.975731658846374,bipartite
176,176,16.3016155600557,bipartite
178,178,18.507425236876234,bipartite
177,174,22.930414951159058,bipartite
180,181,42.02102702918017,bipartite
179,180,1.0578988251885428,bipartite
181,183,11.306628030369705,bipartite
185,184,12.01620193789383,bipartite
183,185,26.27786367530833,bipartite
182,182,18.40667135501464,bipartite
184,186,23.54721239154959,bipartite
186,188,16.568407826698085,bipartite
187,187,26.643983044269103,bipartite
188,190,29.910760097708636,bipartite
190,192,14.307948379719427,bipartite
189,197,27.980756927435294,bipartite
191,191,29.67106944404486,bipartite
192,193,25.817682541481737,bipartite
193,194,28.566977632466866,bipartite
194,226,55.82181002711088,bipartite
197,220,63.59057948844487,bipartite
195,196,30.744391660043387,bipartite
196,150,10.590622568891238,bipartite
198,149,4.628262041932261,bipartite
199,133,13.174345703502826,bipartite
201,137,5.122012257738796,bipartite
200,132,24.697880867122564,bipartite
202,208,7.81922965298444,bipartite
203,210,6.667996477727614,bipartite
204,206,21.18132583794498,bipartite
205,211,3.463255916041457,bipartite
206,216,10.503665957141756,bipartite
207,207,31.212214237469855,bipartite
208,215,7.126672557397845,bipartite
211,217,11.122945280398573,bipartite
209,212,15.749428398104918,bipartite
212,213,13.21743914626717,bipartite
213,214,20.66805695131939,bipartite
215,218,14.191308191169673,bipartite
216,219,10.325175822065079,bipartite
214,225,19.856248773753627,bipartite
218,222,21.436497194924197,bipartite
217,221,14.301943105066812,bipartite
219,223,25.174971379002322,bipartite
220,228,3.638902323946337,bipartite
221,232,21.83116872042214,bipartite
222,224,28.9245178314621,bipartite
223,230,15.69158569477655,bipartite
224,231,28.688151126130244,bipartite
225,227,23.81394386984676,bipartite
226,198,14.066460302474855,bipartite
227,229,29.343751318158517,bipartite
228,199,20.18751643154051,bipartite
229,201,19.167538249745018,bipartite
230,200,30.190266019876233,bipartite
231,237,6.063327522573908,bipartite
232,236,29.841006277649452,bipartite
236,238,16.15139716404086,bipartite
233,233,45.747838194786844,bipartite
235,242,1.4844479964833297,bipartite
234,235,26.92919892241364,bipartite
237,135,17.064903803344365,bipartite
238,239,48.46634250521912,bipartite
239,108,12.993450953257994,bipartite
240,128,30.57348994677468,bipartite
242,127,18.000289144320504,bipartite
241,244,53.007017514776656,bipartite
243,248,53.48132066162993,bipartite
245,125,34.22280531864523,bipartite
244,123,25.0738764796452,bipartite
246,247,59.42798464320179,bipartite
248,122,28.39329805877758,bipartite
247,121,38.52904088689035,bipartite
252,120,31.628280409049044,bipartite
249,84,15.027891856058286,bipartite
250,251,67.8286431387266,bipartite
251,253,65.57312933695945,bipartite
253,86,32.967129594452004,bipartite
254,254,72.7075569282601,bipartite
255,255,73.95179510950167,bipartite
256,256,74.9004648272046,bipartite
257,257,80.74734576412715,bipartite
258,258,80.25563285420118,bipartite
259,259,82.19861626580428,bipartite
260,260,80.70413611223013,bipartite
261,261,82.50253292938903,bipartite
262,262,85.0950505115274,bipartite
263,263,90.48215318085701,bipartite
