Type,StartX,StartY,EndX,EndY,Width
Wall,254205.4196086511,2821156.201103059,254204.08332386918,2821153.69075578,0.0
Wall,254200.8493269158,2821155.6714621787,254202.1420093249,2821158.322450734,0.0
Wall,254202.1420093249,2821158.322450734,254199.96325951777,2821159.486926999,0.0
Wall,254222.27523571727,2821164.036578307,254218.4439010113,2821166.596056193,0.0
Wall,254218.4439010113,2821166.596056193,254217.65775142147,2821165.1636282443,0.0
Wall,254222.27523571727,2821164.036578307,254219.76629854704,2821159.8642613636,0.0
Wall,254221.18596780192,2821162.2251455486,254218.18838871154,2821164.115634204,0.0
Wall,254218.18838871154,2821164.115634204,254218.0459177564,2821164.690633809,0.0
Wall,254218.0459177564,2821164.690633809,254218.6616695294,2821165.7418909036,0.0
Wall,254218.6616695294,2821165.7418909036,254221.4806301651,2821163.8875666265,0.0
Wall,254221.4806301651,2821163.8875666265,254220.75477726158,2821162.4970852705,0.0
Wall,254217.14190117747,2821159.4276680346,254217.85284969155,2821159.0809933436,0.0
Wall,254217.85284969155,2821159.0809933436,254218.59245466406,2821158.0037572472,0.0
Wall,254218.59245466406,2821158.0037572472,254216.97487180357,2821155.7412722087,0.0
Wall,254216.97487180357,2821155.7412722087,254216.1472504183,2821156.3329871353,0.0
Wall,254216.1472504183,2821156.3329871353,254216.5287197311,2821156.929236524,0.0
Wall,254216.5287197311,2821156.929236524,254217.47355953875,2821156.438778078,0.0
Wall,254217.82958075372,2821156.9367387653,254217.2076268271,2821157.240017668,0.0
Wall,254217.2076268271,2821157.240017668,254217.54489395235,2821157.931673471,0.0
Wall,254217.54489395235,2821157.931673471,254218.27592770391,2821157.5610364885,0.0
Wall,254218.50099789634,2821157.8758382555,254217.794620034,2821158.2202841924,0.0
Wall,254217.794620034,2821158.2202841924,254218.10958434327,2821158.707058819,0.0
Wall,254215.5404876172,2821156.766797344,254214.97186667318,2821157.173337709,0.0
Wall,254214.58705843193,2821157.51199037,254213.3426812358,2821158.1187770376,0.0
Wall,254213.3426812358,2821158.1187770376,254215.17548071884,2821161.288507775,0.0
Wall,254215.17548071884,2821161.288507775,254215.57126898554,2821161.382775535,0.0
Wall,254214.9655324977,2821160.92541332,254215.835754171,2821160.5010734084,0.0
Wall,254215.835754171,2821160.5010734084,254215.770158722,2821160.3665525215,0.0
Wall,254215.770158722,2821160.3665525215,254216.46194837763,2821160.029220126,0.0
Wall,254215.770158722,2821160.3665525215,254215.56440088202,2821159.9445914305,0.0
Wall,254215.56440088202,2821159.9445914305,254214.69056013398,2821160.4498630147,0.0
Wall,254214.41219018018,2821159.9684367557,254215.0318703388,2821159.666266594,0.0
Wall,254215.0318703388,2821159.666266594,254214.6368290513,2821158.8561295294,0.0
Wall,254214.6368290513,2821158.8561295294,254213.98647159833,2821159.2321787598,0.0
Wall,254213.75170935105,2821158.8261697455,254214.5393608949,2821158.4420929104,0.0
Wall,254214.5393608949,2821158.4420929104,254214.18210896355,2821157.7094529555,0.0
Wall,254214.5393608949,2821158.4420929104,254218.10958434327,2821158.707058819,0.0
Wall,254215.56580209508,2821159.94746499,254216.5287197311,2821156.929236524,0.0
Wall,254227.1412395769,2821153.1105535175,254230.30554999618,2821151.5675636744,0.0
Wall,254230.30554999618,2821151.5675636744,254228.80338638648,2821148.846055051,0.0
Wall,254224.47860204548,2821148.7215112685,254223.87815468802,2821149.014303078,0.0
Wall,254223.87815468802,2821149.014303078,254224.09490069962,2821149.458798332,0.0
Wall,254228.36563167258,2821148.0529635255,254227.40882037455,2821146.3194837756,0.0
Wall,254227.40882037455,2821146.3194837756,254224.49999454545,2821147.8324666214,0.0
Wall,254224.49999454545,2821147.8324666214,254224.85450002577,2821148.514030659,0.0
Wall,254224.85450002577,2821148.514030659,254225.50530909305,2821148.1548101557,0.0
Wall,254226.1049287705,2821147.8238441427,254227.7407868818,2821146.920916074,0.0
Wall,254277.5763955513,2821156.4523135014,254275.81555782043,2821152.4004932945,0.0
Wall,254275.81555782043,2821152.4004932945,254273.98110260966,2821153.1209634454,0.0
Wall,254273.11528810227,2821153.4610063666,254270.8280939002,2821154.3592867623,0.0
Wall,254270.8280939002,2821154.3592867623,254272.44620589443,2821158.4793102993,0.0
Wall,254272.44620589443,2821158.4793102993,254277.5763955513,2821156.4523135014,0.0
Wall,254286.85171266686,2821116.8632347886,254284.23000486282,2821112.13889741,0.0
Wall,254284.23000486282,2821112.13889741,254282.2099962312,2821113.173376225,0.0
Wall,254284.0448287651,2821118.2784080077,254286.42074419677,2821122.0273959115,0.0
Wall,254286.42074419677,2821122.0273959115,254291.3613865527,2821119.4069402283,0.0
Wall,254291.3613865527,2821119.4069402283,254289.0159966659,2821114.984910621,0.0
Wall,254289.0159966659,2821114.984910621,254287.75813867475,2821115.5573453866,0.0
Wall,254281.48812789467,2821113.5430565765,254279.71327610282,2821114.451986642,0.0
Wall,254279.71327610282,2821114.451986642,254282.3386130711,2821119.13864692,0.0
Wall,254282.3386130711,2821119.13864692,254286.85171266686,2821116.8632347886,0.0
Wall,254287.3356196677,2821115.7496282756,254286.4558999407,2821116.149977249,0.0
Wall,254187.75344478484,2821153.441696237,254185.3786271194,2821154.439701573,0.0
Wall,254185.3786271194,2821154.439701573,254184.32802371832,2821152.2851603082,0.0
Wall,254184.32802371832,2821152.2851603082,254185.16063914605,2821151.8791580587,0.0
Wall,254187.37492346027,2821152.665437743,254187.75344478484,2821153.441696237,0.0
Wall,254186.34278203998,2821151.3027182543,254186.63980538037,2821151.1578829074,0.0
Wall,254186.63980538037,2821151.1578829074,254187.08332066872,2821152.067428783,0.0
Wall,254185.51123728463,2821151.70819842,254185.9921839014,2821151.473677893,0.0
Wall,254189.52200176846,2821138.103134647,254188.41714435432,2821135.9408005513,0.0
Wall,254187.19046091026,2821133.540038786,254182.66771383214,2821135.8509631944,0.0
Wall,254180.44666102278,2821131.504105259,254184.96940810094,2821129.1931808507,0.0
Wall,254188.04002523056,2821135.2027346897,254186.2459620649,2821131.691545007,0.0
Wall,254185.86884294116,2821130.953479145,254184.01619739822,2821127.3276369562,0.0
Wall,254183.63907827446,2821126.5895710946,254182.21040376744,2821123.793489393,0.0
Wall,254182.21040376744,2821123.793489393,254177.68765668932,2821126.104413802,0.0
Wall,254177.68765668932,2821126.104413802,254184.95608856255,2821140.3295779373,0.0
Wall,254184.95608856255,2821140.3295779373,254189.52200176846,2821138.103134647,0.0
Wall,254177.68765668932,2821126.104413802,254184.9425201697,2821129.140558051,0.0
Wall,254180.44666102278,2821131.504105259,254182.21040376744,2821123.793489393,0.0
Wall,254182.35963747188,2821109.9339775173,254181.39861953873,2821107.727809695,0.0
Wall,254178.87943747386,2821103.448898459,254176.18144415473,2821098.360487023,0.0
Wall,254176.18144415473,2821098.360487023,254174.19980261865,2821099.57856983,0.0
Wall,254181.0340428901,2821106.890866655,254179.93929068482,2821104.3776907763,0.0
Wall,254179.93929068482,2821104.3776907763,254174.10030515477,2821106.9211825947,0.0
Wall,254174.10030515477,2821106.9211825947,254176.52065194183,2821112.477469336,0.0
Wall,254176.52065194183,2821112.477469336,254182.35963747188,2821109.9339775173,0.0
Wall,254173.2521047983,2821100.1611042595,254171.28924665405,2821101.3676412213,0.0
Wall,254171.28924665405,2821101.3676412213,254173.938367215,2821106.2129633254,0.0
Wall,254173.938367215,2821106.2129633254,254178.87943747386,2821103.448898459,0.0
Wall,254200.22843608793,2821115.2921262276,254198.19385929563,2821110.186833601,0.0
Wall,254198.19385929563,2821110.186833601,254196.3293274848,2821111.096021786,0.0
Wall,254211.45020503207,2821109.1516297422,254209.99327234828,2821105.3020152813,0.0
Wall,254209.99327234828,2821105.3020152813,254208.4268066068,2821106.065859661,0.0
Wall,254195.55223553782,2821111.4749495215,254193.4310850322,2821112.5092708278,0.0
Wall,254193.4310850322,2821112.5092708278,254195.39951103806,2821117.6468200847,0.0
Wall,254195.39951103806,2821117.6468200847,254200.22843608793,2821115.2921262276,0.0
Wall,254207.67875664783,2821106.4306258615,254205.67569924562,2821107.4073622804,0.0
Wall,254205.67569924562,2821107.4073622804,254207.15477337522,2821111.246180068,0.0
Wall,254207.15477337522,2821111.246180068,254211.45020503207,2821109.1516297422,0.0
Wall,254228.3487271412,2821112.4682152225,254223.68965357708,2821098.757390338,0.0
Wall,254223.68965357708,2821098.757390338,254217.23187068928,2821100.9518086747,0.0
Wall,254229.06236678007,2821105.1891287575,254233.40704936592,2821103.0705625573,0.0
Wall,254233.40704936592,2821103.0705625573,254231.8587894314,2821099.073457147,0.0
Wall,254231.8587894314,2821099.073457147,254230.23847534083,2821099.863559208,0.0
Wall,254227.67168540467,2821101.1151844524,254226.71143980318,2821098.5173803065,0.0
Wall,254226.71143980318,2821098.5173803065,254222.7431835095,2821085.6596745225,0.0
Wall,254222.7431835095,2821085.6596745225,254221.10980166454,2821082.309991299,0.0
Wall,254226.71143980318,2821098.5173803065,254234.46335630928,2821094.7373692305,0.0
Wall,254234.46335630928,2821094.7373692305,254229.27085504663,2821083.2661856553,0.0
Wall,254229.27085504663,2821083.2661856553,254224.37343195378,2821085.104433763,0.0
Wall,254224.37343195378,2821085.104433763,254222.80089166327,2821081.688549569,0.0
Wall,254222.7431835095,2821085.6596745225,254215.70362530372,2821088.324630538,0.0
Wall,254214.92332939344,2821088.6397238746,254214.13567178158,2821088.9397200868,0.0
Wall,254214.13567178158,2821088.9397200868,254216.81268831715,2821098.7070693267,0.0
Wall,254216.81268831715,2821098.7070693267,254218.9679589431,2821097.9324872936,0.0
Wall,254218.9679589431,2821097.9324872936,254219.70803015804,2821100.1103852578,0.0
Wall,254214.13567178158,2821088.9397200868,254213.08333113635,2821085.100155234,0.0
Wall,254216.39989381674,2821088.0610451098,254215.13891881265,2821084.34980754,0.0
Wall,254216.81268831715,2821098.7070693267,254210.96632536288,2821100.6583912307,0.0
Wall,254216.47490814133,2821097.474646254,254210.62854518706,2821099.4259681585,0.0
Wall,254210.62854518706,2821099.4259681585,254211.0325137028,2821100.6362997596,0.0
Wall,254211.59229780364,2821099.1042995234,254211.9962663194,2821100.314631125,0.0
Wall,254212.605353326,2821098.766175215,254213.00932184176,2821099.976506816,0.0
Wall,254213.55172666418,2821098.4503072063,254213.95569517993,2821099.660638808,0.0
Wall,254214.3264846184,2821098.1917187166,254214.73045313414,2821099.402050318,0.0
Wall,254215.33474226523,2821097.85519578,254215.73871078098,2821099.065527381,0.0
Wall,254216.47745037885,2821101.208168139,254211.94813426022,2821102.7472744416,0.0
Wall,254211.94813426022,2821102.7472744416,254217.13939873132,2821116.8741765944,0.0
Wall,254217.13939873132,2821116.8741765944,254228.3487271412,2821112.4682152225,0.0
Wall,254228.3487271412,2821112.4682152225,254232.03697827016,2821111.0185037493,0.0
Wall,254232.03697827016,2821111.0185037493,254229.68390238564,2821104.886053838,0.0
Wall,254229.52003947366,2821100.2138849027,254227.67168540467,2821101.1151844524,0.0
Wall,254227.67168540467,2821101.1151844524,254229.06236678007,2821105.1891287575,0.0
Wall,254220.1568314725,2821115.688138358,254221.2182941284,2821117.8649494085,0.0
Wall,254221.2182941284,2821117.8649494085,254222.0029105107,2821117.482352587,0.0
Wall,254222.0029105107,2821117.482352587,254223.46708929166,2821121.362536473,0.0
Wall,254223.46708929166,2821121.362536473,254219.63395249014,2821122.632415691,0.0
Wall,254219.63395249014,2821122.632415691,254218.5405993671,2821119.7847665073,0.0
Wall,254218.5405993671,2821119.7847665073,254216.51252963927,2821120.605943482,0.0
Wall,254216.51252963927,2821120.605943482,254214.74196375237,2821116.745630007,0.0
Wall,254214.74196375237,2821116.745630007,254215.63332350217,2821116.3109826874,0.0
Wall,254243.28700945852,2821107.6819603425,254242.23583701625,2821105.526252107,0.0
Wall,254242.23583701625,2821105.526252107,254241.63564017593,2821105.8459697408,0.0
Wall,254239.0575107548,2821109.1678801645,254239.50188039005,2821109.9191462453,0.0
Wall,254239.50188039005,2821109.9191462453,254243.28700945852,2821107.6819603425,0.0
Wall,254240.45988313868,2821106.4722813643,254238.18108682887,2821107.686168733,0.0
Wall,254238.18108682887,2821107.686168733,254238.63516609356,2821108.4538502367,0.0
Wall,254241.38204560583,2821105.981056516,254240.90559555174,2821106.234855726,0.0
Wall,254238.44118431682,2821100.312116775,254237.08344244809,2821096.5448698476,0.0
Wall,254237.08344244809,2821096.5448698476,254235.70311927507,2821097.2179468703,0.0
Wall,254234.785519228,2821097.665389556,254233.42088111103,2821098.3308181884,0.0
Wall,254233.42088111103,2821098.3308181884,254234.8285739638,2821102.073707878,0.0
